,id,name,age,高数,线代,模电,概率论,马原,离散,数据结构
1,20190002,李四,18,82,80,69,84,87,90,90
2,20190003,王五,19,74,78,87,75,76,88,76
3,20190004,赵六,19,50,62,65,71,78,66,74
4,20190005,李小光,20,36,57,64,77,80,44,92
5,20190006,王大鹏,21,58,70,71,76,90,69,82
6,20190023,李龙,23,73,80,75,82,90,74,78
7,20190008,刘红,38,96,98,97,93,57,94,88
8,20190009,王杰,6,73,80,75,83,60,77,74
9,20190010,小花,5,37,48,87,49,50,64,58
10,20190011,张强,25,100,85,70,94,93,91,87
11,20190012,段玉,30,68,89,87,70,93,87,74
12,20190013,小明,19,40,54,30,58,72,50,63
13,20190014,张彪,32,70,55,78,82,94,73,71
14,20190015,李华,17,100,99,97,100,95,100,89
15,20190016,赵明,35,95,89,88,92,100,85,98
16,20190017,旺财,15,99,90,72,77,93,50,59
